Date,Wheat,Milo,Corn,Beans
1/3/00,2.10,2.54,1.75,3.96
1/4/00,2.11,2.61,1.77,4.03
1/5/00,2.13,2.61,1.77,4.10
1/6/00,2.13,2.62,1.78,4.09
1/7/00,2.16,2.68,1.81,4.11
1/10/00,2.18,2.71,1.83,4.07
1/11/00,2.18,2.68,1.81,4.08
1/12/00,2.24,2.84,1.90,4.13
1/13/00,2.28,2.92,1.94,4.22
1/14/00,2.31,2.89,1.92,4.24
1/18/00,2.31,2.91,1.93,4.30
1/19/00,2.33,2.93,1.94,4.29
1/20/00,2.32,2.93,1.94,4.34
1/21/00,2.32,2.96,1.96,4.34
1/24/00,2.34,3.03,2.00,4.41
1/25/00,2.33,3.03,2.00,4.46
1/26/00,2.28,2.95,1.96,4.43
1/27/00,2.31,3.02,1.99,4.57
1/28/00,2.28,2.97,1.97,4.54
1/31/00,2.24,2.91,1.93,4.38
2/1/00,2.25,2.94,1.95,4.40
2/2/00,2.25,2.93,1.94,4.37
2/3/00,2.21,2.89,1.91,4.31
2/4/00,2.26,2.93,1.93,4.38
2/7/00,2.28,2.96,1.95,4.40
2/8/00,2.28,2.96,1.95,4.33
2/9/00,2.34,2.98,1.96,4.37
2/10/00,2.42,3.04,1.99,4.46
2/11/00,2.40,2.96,1.95,4.38
2/14/00,2.40,2.96,1.95,4.38
2/15/00,2.38,2.96,1.95,4.42
2/16/00,2.37,2.98,1.96,4.42
2/17/00,2.34,2.95,1.94,4.43
2/18/00,2.36,2.95,1.94,4.50
2/22/00,2.34,2.91,1.92,4.48
2/23/00,2.27,2.84,1.89,4.36
2/24/00,2.27,2.86,1.90,4.41
2/25/00,2.18,2.80,1.87,4.34
2/28/00,2.14,2.79,1.87,4.36
2/29/00,2.17,2.84,1.90,4.41
3/1/00,2.17,2.82,1.89,4.36
3/2/00,2.15,2.86,1.91,4.41
3/3/00,2.17,2.91,1.94,4.44
3/6/00,2.19,2.98,1.98,4.50
3/7/00,2.19,2.91,1.94,4.45
3/8/00,2.21,2.93,1.95,4.49
3/9/00,2.24,2.95,1.96,4.50
3/10/00,2.20,2.95,1.96,4.43
3/13/00,2.23,3.02,2.00,4.56
3/14/00,2.32,3.18,2.07,4.63
3/15/00,2.31,3.14,2.05,4.57
3/16/00,2.29,3.13,2.04,4.58
3/17/00,2.33,3.23,2.10,4.70
3/20/00,2.28,3.14,2.06,4.58
3/21/00,2.22,3.07,2.02,4.59
3/22/00,2.21,3.13,2.05,4.63
3/23/00,2.13,3.06,2.01,4.54
3/24/00,2.11,3.09,2.02,4.63
3/27/00,2.13,3.09,2.02,4.65
3/28/00,2.08,2.96,1.95,4.58
3/29/00,2.09,3.00,1.97,4.60
3/30/00,2.18,3.11,2.03,4.69
3/31/00,2.27,3.16,2.06,4.78
4/3/00,2.25,3.11,2.04,4.79
4/4/00,2.23,3.07,2.02,4.71
4/5/00,2.23,3.07,2.02,4.76
4/6/00,2.21,3.00,1.97,4.64
4/7/00,2.24,3.04,1.99,4.71
4/10/00,2.18,3.00,1.97,4.64
4/11/00,2.16,2.93,1.93,4.60
4/12/00,2.18,2.96,1.95,4.69
4/13/00,2.22,3.02,1.97,4.71
4/14/00,2.21,3.00,1.96,4.65
4/17/00,2.20,2.96,1.95,4.66
4/18/00,2.19,2.96,1.96,4.68
4/19/00,2.20,3.02,1.99,4.71
4/20/00,2.20,3.00,1.98,4.70
4/24/00,2.21,3.02,1.99,4.78
4/25/00,2.21,3.09,2.02,4.77
4/26/00,2.17,3.04,1.99,4.74
4/27/00,2.13,3.00,1.97,4.66
4/28/00,2.13,2.98,1.97,4.62
5/1/00,2.24,3.21,2.10,4.96
5/2/00,2.25,3.25,2.13,4.93
5/3/00,2.31,3.34,2.19,5.05
5/4/00,2.36,3.34,2.19,5.07
5/5/00,2.33,3.30,2.17,5.01
5/8/00,2.29,3.18,2.10,4.94
5/9/00,2.28,3.14,2.08,4.91
5/10/00,2.34,3.27,2.13,5.05
5/11/00,2.40,3.30,2.14,5.03
5/12/00,2.42,3.32,2.15,5.01
5/15/00,2.40,3.20,2.09,4.85
5/16/00,2.40,3.13,2.05,4.84
5/17/00,2.36,3.13,2.05,4.79
5/18/00,2.32,3.19,2.07,4.84
5/19/00,2.36,3.21,2.09,4.90
5/22/00,2.42,3.23,2.11,4.88
5/23/00,2.44,3.18,2.08,4.87
5/24/00,2.42,3.13,2.05,4.79
5/25/00,2.44,3.05,2.01,4.65
5/26/00,2.44,3.11,2.04,4.72
5/30/00,2.39,2.96,1.97,4.59
5/31/00,2.41,3.00,1.99,4.60
6/1/00,2.38,3.01,2.00,4.65
6/2/00,2.39,3.07,2.03,4.76
6/5/00,2.35,2.99,1.98,4.72
6/6/00,2.38,3.09,2.05,4.77
6/7/00,2.40,2.98,1.99,4.72
6/8/00,2.43,3.00,2.00,4.76
6/9/00,2.44,3.00,2.00,4.76
6/12/00,2.41,2.81,1.90,4.64
6/13/00,2.43,2.84,1.92,4.64
6/14/00,2.41,2.77,1.88,4.68
6/15/00,2.42,2.84,1.93,4.68
6/16/00,2.42,2.90,1.97,4.63
6/19/00,2.48,2.86,1.95,4.63
6/20/00,2.55,2.80,1.93,4.55
6/21/00,2.60,2.88,1.96,4.60
6/22/00,2.63,2.91,1.97,4.55
6/23/00,2.59,2.85,1.94,4.54
6/26/00,2.63,2.75,1.88,4.57
6/27/00,2.63,2.80,1.91,4.55
6/28/00,2.62,2.77,1.90,4.51
6/29/00,2.64,2.85,1.92,4.55
6/30/00,2.58,2.72,1.85,4.45
7/3/00,2.47,2.64,1.81,4.35
7/5/00,2.48,2.68,1.83,4.37
7/6/00,2.45,2.60,1.79,4.32
7/7/00,2.45,2.64,1.81,4.38
7/10/00,2.45,2.57,1.78,4.41
7/11/00,2.43,2.54,1.78,4.37
7/12/00,2.42,2.55,1.78,4.39
7/13/00,2.45,2.55,1.78,4.34
7/14/00,2.39,2.50,1.75,4.30
7/17/00,2.34,2.45,1.71,4.25
7/18/00,2.30,2.50,1.74,4.23
7/19/00,2.33,2.52,1.75,4.20
7/20/00,2.34,2.60,1.79,4.23
7/21/00,2.37,2.64,1.79,4.23
7/24/00,2.36,2.59,1.77,4.20
7/25/00,2.35,2.55,1.75,4.15
